name,latitude,longitude
Raccoon Mountain Pumped-Storage Plant,35.0483,-85.3967
Susquehanna Steam Electric Station,41.0889,-76.1489
Greenwich Power Station,51.485,-0.001
Liddell Power Station,-32.3719,150.977
Bayswater Power Station,-32.3958,150.949
Wilford Power Station,52.932,-1.16684
Mount Piper Power Station,-33.3589,150.032
Hunterston B nuclear power station,55.7221,-4.89009
Blue Canyon Wind Farm,34.8603,-98.5825
Diamer-Bhasha Dam,35.5168,73.7922
William H. Zimmer Power Station,38.8664,-84.2281
Crookwell Wind Farm,-34.5165,149.542
Blayney Wind Farm,-33.6219,149.198
Wallerawang Power Station,-33.4039,150.084
Bielsko Biala Power Plant,49.812,19.052
Schwarze Pumpe power station,51.5361,14.3533
Chashma Nuclear Power Complex,32.3903,71.4625
Cirrus Shell Flat Array,53.85,-3.16694
Rye House power station,51.7625,0.01077
Didcot Power Station,51.6236,-1.26757
Langage Power Station,50.3884,-4.01173
Torrens Island Power Station,-34.8067,138.523
Koombooloomba Hydro Power Station,-17.83,145.6
Kareeya Hydro Power Station,-17.7678,145.578
Windy Hill Wind Farm,-17.5922,145.531
Stanwell Power Station,-23.5097,150.319
Baglihar Dam,33.1619,75.3278
Bradwell nuclear power station,51.7414,0.896944
Aberthaw Power Station,51.3873,-3.40487
Atucha II Nuclear Power Plant,-33.9675,-59.2051
Clark Canyon Dam,45.0,-112.857
Bell Bay Power Station,-41.1419,146.902
Bastyan Power Station,-41.7347,145.532
Reece Power Station,-41.7236,145.136
Safe Harbor Dam,39.9206,-76.3925
Northern Power Station,-32.5429,137.787
Mratinje Dam,43.2722,18.8417
Callide Power Station,-24.3472,150.609
Swanbank Power Station,-27.6598,152.813
Collinsville Power Station,-20.5433,147.807
Alicurá Dam,-40.5861,-70.7525
Piedra del Águila Dam,-40.1903,-69.9914
SAFARI-1,-25.8,27.95
Mica Creek Power Station,-20.7778,139.491
Phosphate Hill Power Station,-21.8814,139.976
Osborne Power Station,-34.7981,138.508
Ffestiniog Power Station,52.9808,-3.96889
Baglan Bay power station,51.6197,-3.82964
Lamma Winds,22.225,114.121
Castle Peak Power Station,22.3756,113.92
Guangdong Pumped Storage Power Station,23.7644,113.953
Belene Nuclear Power Plant,43.6294,25.1867
Glanford Power Station,53.622,-0.700364
Tarong Power Station,-26.7811,151.915
Gladstone Power Station,-23.8507,151.219
Ling Ao Nuclear Power Plant,22.6048,114.551
Campos Novos Dam,-27.6042,-51.3264
Rheidol Power Station,52.396,-3.9
Ugljevik Power Plant,44.6819,18.9672
Buschhaus Power Station,52.1714,10.9769
Rockport Generating Station,37.9256,-87.0339
Plant Harllee Branch,33.1939,-83.2997
Widows Creek Power Plant,34.8842,-85.755
Conemaugh Generating Station,40.3847,-79.0636
Plant Bowen,34.1231,-84.9203
Orot Rabin Power Station,32.47,34.8895
Duvha Power Station,-25.9639,29.3372
Clifty Creek Power Plant,38.7378,-85.4189
Lippendorf Power Station,51.1853,12.3778
Annapolis Royal Generating Station,44.7519,-65.5111
